P,Max ScherzerP,14.9,10,DET@OAK,"$11,000 ",Add
P,Yu DarvishP,14.7,9,TEX@MIN,"$11,000 ",Add
P,Zack GreinkeP,13.8,10,CIN@LOS,"$9,800 ",Add
P,Chris SaleP,16.2,5,CLE@CWS,"$9,400 ",Add
P,Sonny GrayP,12.8,10,DET@OAK,"$8,600 ",Add
P,Cole HamelsP,10.5,6,COL@PHI,"$8,500 ",Add
P,Jon LesterP,13.4,10,BOS@ATL,"$8,300 ",Add
P,Mark BuehrleP,12.2,10,TAM@TOR,"$8,100 ",Add
P,Lance LynnP,11.5,10,NYY@STL,"$7,900 ",Add
P,Alex CobbP,11.3,4,TAM@TOR,"$7,800 ",Add
P,Jered WeaverP,11.5,10,LAA@SEA,"$7,600 ",Add
P,Tim HudsonP,11.5,9,CHC@SFG,"$7,000 ",Add
P,Henderson AlvarezP,8.5,10,MIA@WAS,"$6,900 ",Add
P,Aaron HarangP,11.7,10,BOS@ATL,"$6,700 ",Add
P,Jon NieseP,10.5,9,PIT@NYM,"$6,600 ",Add
P,Jorge De La RosaP,9.4,10,COL@PHI,"$6,400 ",Add
P,Phil HughesP,11.3,9,TEX@MIN,"$6,400 ",Add
P,Justin MastersonP,8.1,11,CLE@CWS,"$6,300 ",Add
P,Matt GarzaP,8.2,10,BAL@MIL,"$6,300 ",Add
P,Alfredo SimonP,11.5,9,CIN@LOS,"$6,200 ",Add
P,Roenis EliasP,9.8,10,LAA@SEA,"$5,800 ",Add
P,Wade MileyP,8.7,11,SDP@ARI,"$5,800 ",Add
P,Wei-Yin ChenP,9.2,9,BAL@MIL,"$5,800 ",Add
P,Jake ArrietaP,9.5,4,CHC@SFG,"$5,600 ",Add
P,Eric StultsP,5.5,10,SDP@ARI,"$5,500 ",Add
P,David PhelpsP,4.5,13,NYY@STL,"$5,400 ",Add
SS,Troy Tulowitzki,4.3,49,COL@PHI,"$5,300 ",Add
OF,Yasiel Puig,4,46,CIN@LOS,"$5,200 ",Add
P,Edinson VolquezP,6.8,10,PIT@NYM,"$5,200 ",Add
P,Jeremy GuthrieP,7,10,HOU@KAN,"$5,000 ",Add
OF,Giancarlo Stanton,4.1,52,MIA@WAS,"$5,000 ",Add
OF,Mike Trout,3.5,49,LAA@SEA,"$4,900 ",Add
OF,Carlos Gomez,3.8,46,BAL@MIL,"$4,800 ",Add
1B,Miguel Cabrera,3.2,47,DET@OAK,"$4,800 ",Add
1B,Edwin Encarnacion,3.5,52,TAM@TOR,"$4,700 ",Add
OF,Nelson Cruz,3.8,48,BAL@MIL,"$4,600 ",Add
1B,Chris Davis,3.4,35,BAL@MIL,"$4,500 ",Add
3B,Adrian Beltre,2.8,37,TEX@MIN,"$4,400 ",Add
OF,Carlos Gonzalez,2.7,46,COL@PHI,"$4,400 ",Add
3B,Josh Donaldson,3.6,50,DET@OAK,"$4,300 ",Add
2B,Jose Altuve,3,52,HOU@KAN,"$4,200 ",Add
P,Blake TreinenP,5.4,5,MIA@WAS,"$4,200 ",Add
C,Victor Martinez,3.3,47,DET@OAK,"$4,200 ",Add
OF,Shin-Soo Choo,3,46,TEX@MIN,"$4,100 ",Add
1B,Jose AbreuDL,3.5,44,CLE@CWS,"$4,100 ",Add
1B,Brandon Moss,3,55,DET@OAK,"$4,100 ",Add
OF,Jose Bautista,3.4,54,TAM@TOR,"$4,000 ",Add
SS,Hanley Ramirez,2.6,48,CIN@LOS,"$4,000 ",Add
SS,Jose Reyes,3.1,35,TAM@TOR,"$4,000 ",Add
2B,Dee Gordon,3.3,48,CIN@LOS,"$3,900 ",Add
OF,Charlie Blackmon,3.1,53,COL@PHI,"$3,900 ",Add
OF,Hunter Pence,2.9,52,CHC@SFG,"$3,900 ",Add
OF,Michael Brantley,3.2,54,CLE@CWS,"$3,900 ",Add
3B,David Wright,2.4,50,PIT@NYM,"$3,800 ",Add
OF,Seth Smith,2.8,45,SDP@ARI,"$3,800 ",Add
2B,Ian Kinsler,3.1,46,DET@OAK,"$3,800 ",Add
SS,Alexei Ramirez,3,53,CLE@CWS,"$3,800 ",Add
2B,Robinson Cano,2.6,50,LAA@SEA,"$3,700 ",Add
2B,Brian Dozier,3.6,48,TEX@MIN,"$3,700 ",Add
OF,Corey Dickerson,2.1,32,COL@PHI,"$3,700 ",Add
1B,Adrian Gonzalez,3,51,CIN@LOS,"$3,700 ",Add
OF,Mark TrumboDL,3,21,SDP@ARI,"$3,700 ",Add
OF,Bryce HarperDL,2.1,23,MIA@WAS,"$3,700 ",Add
1B,Albert Pujols,3.2,50,LAA@SEA,"$3,700 ",Add
OF,Yoenis Cespedes,2.8,47,DET@OAK,"$3,700 ",Add
2B,Chase Utley,3.2,45,COL@PHI,"$3,700 ",Add
OF,Adam Jones,2.6,49,BAL@MIL,"$3,700 ",Add
SS,Stephen Drew,2.5,124,BOS@ATL,"$3,700 ",Add
1B,Garrett Jones,2.6,49,MIA@WAS,"$3,600 ",Add
OF,Melky Cabrera,3.1,51,TAM@TOR,"$3,600 ",Add
OF,George Springer,3.1,35,HOU@KAN,"$3,600 ",Add
OF,Alex Rios,2.8,51,TEX@MIN,"$3,600 ",Add
3B,Ryan ZimmermanDL,2.9,10,MIA@WAS,"$3,600 ",Add
1B,Freddie Freeman,3,50,BOS@ATL,"$3,600 ",Add
1B,David Ortiz,2.9,48,BOS@ATL,"$3,600 ",Add
SS,Jimmy Rollins,2.8,46,COL@PHI,"$3,600 ",Add
OF,Josh HamiltonDL,4.7,8,LAA@SEA,"$3,600 ",Add
C,Yadier Molina,2.5,45,NYY@STL,"$3,500 ",Add
OF,Colby RasmusDL,2.3,37,TAM@TOR,"$3,500 ",Add
OF,Justin Ruggiano,1.4,14,CHC@SFG,"$3,500 ",Add
C,Buster Posey,2.2,47,CHC@SFG,"$3,500 ",Add
3B,Nolan ArenadoDL,2.6,49,COL@PHI,"$3,500 ",Add
OF,A.J. Pollock,2.3,47,SDP@ARI,"$3,500 ",Add
OF,Brett Gardner,2.7,49,NYY@STL,"$3,500 ",Add
OF,Marlon Byrd,2.4,48,COL@PHI,"$3,500 ",Add
OF,Jacoby Ellsbury,2.6,48,NYY@STL,"$3,500 ",Add
3B,Kevin KouzmanoffDL,3.3,13,TEX@MIN,"$3,500 ",Add
C,Devin Mesoraco,3.6,22,CIN@LOS,"$3,500 ",Add
3B,Lonnie Chisenhall,2.3,39,CLE@CWS,"$3,500 ",Add
1B,Adam Dunn,2.8,43,CLE@CWS,"$3,400 ",Add
OF,Matt Kemp,2.3,42,CIN@LOS,"$3,400 ",Add
3B,Todd Frazier,2.7,50,CIN@LOS,"$3,400 ",Add
3B,Carlos Santana,2.1,50,CLE@CWS,"$3,400 ",Add
1B,Justin Morneau,2.7,49,COL@PHI,"$3,400 ",Add
1B,Mark Teixeira,3,35,NYY@STL,"$3,400 ",Add
C,Evan Gattis,2.4,38,BOS@ATL,"$3,400 ",Add
OF,Michael Cuddyer,2.9,24,COL@PHI,"$3,400 ",Add
3B,Juan Francisco,3.2,29,TAM@TOR,"$3,400 ",Add
C,Brian McCann,1.8,45,NYY@STL,"$3,400 ",Add
1B,Joey VottoDL,2.7,39,CIN@LOS,"$3,400 ",Add
OF,Mike Morse,2.6,52,CHC@SFG,"$3,400 ",Add
OF,Curtis Granderson,2.1,51,PIT@NYM,"$3,400 ",Add
OF,Drew Stubbs,1.9,38,COL@PHI,"$3,400 ",Add
OF,Jay Bruce,2.6,33,CIN@LOS,"$3,400 ",Add
1B,Prince FielderDL,2.1,42,TEX@MIN,"$3,400 ",Add
3B,Pablo Sandoval,2,50,CHC@SFG,"$3,400 ",Add
OF,Dexter Fowler,2.5,48,HOU@KAN,"$3,300 ",Add
SS,Ian Desmond,2.4,51,MIA@WAS,"$3,300 ",Add
SS,Josh Rutledge,1.3,13,COL@PHI,"$3,300 ",Add
2B,Howie Kendrick,2.9,49,LAA@SEA,"$3,300 ",Add
SS,Asdrubal Cabrera,2.2,49,CLE@CWS,"$3,300 ",Add
OF,Rajai Davis,3,38,DET@OAK,"$3,300 ",Add
3B,Luis Valbuena,2,45,CHC@SFG,"$3,300 ",Add
1B,Brandon BeltDL,2.7,35,CHC@SFG,"$3,300 ",Add
OF,Eric YoungDL,2.5,42,PIT@NYM,"$3,200 ",Add
OF,Jayson Werth,2.4,51,MIA@WAS,"$3,200 ",Add
OF,Denard Span,2.3,44,MIA@WAS,"$3,200 ",Add
OF,Matt Holliday,2.5,50,NYY@STL,"$3,200 ",Add
OF,Junior Lake,2,46,CHC@SFG,"$3,200 ",Add
2B,Dustin Pedroia,2.4,49,BOS@ATL,"$3,200 ",Add
OF,Josh Reddick,1.7,45,DET@OAK,"$3,200 ",Add
SS,Xander Bogaerts,2.1,48,BOS@ATL,"$3,200 ",Add
3B,Eric Chavez,1.2,34,SDP@ARI,"$3,200 ",Add
C,Wilin Rosario,1.8,32,COL@PHI,"$3,200 ",Add
OF,Christian Yelich,2.6,51,MIA@WAS,"$3,200 ",Add
2B,Jurickson ProfarDL,1.6,85,TEX@MIN,"$3,200 ",Add
OF,Avisail GarciaDL,2.8,8,CLE@CWS,"$3,200 ",Add
OF,Billy Hamilton,2.2,45,CIN@LOS,"$3,200 ",Add
SS,Starlin Castro,2.4,49,CHC@SFG,"$3,200 ",Add
2B,Rickie Weeks,1.1,37,BAL@MIL,"$3,100 ",Add
3B,Chase Headley,1.9,35,SDP@ARI,"$3,100 ",Add
2B,Neil Walker,2.6,50,PIT@NYM,"$3,100 ",Add
OF,Steve Souza,0,8,MIA@WAS,"$3,100 ",Add
OF,Nyjer MorganDL,2.6,15,CLE@CWS,"$3,100 ",Add
2B,Omar Infante,2.3,31,HOU@KAN,"$3,100 ",Add
OF,Carlos BeltranDL,2.2,33,NYY@STL,"$3,100 ",Add
C,Josmil Pinto,2.4,35,TEX@MIN,"$3,100 ",Add
OF,Jonny Gomes,2,38,BOS@ATL,"$3,100 ",Add
1B,Adam Lind,2.5,26,TAM@TOR,"$3,100 ",Add
OF,Michael Saunders,1.8,45,LAA@SEA,"$3,100 ",Add
C,John Jaso,2,38,DET@OAK,"$3,100 ",Add
C,Geovany SotoDL,2,54,TEX@MIN,"$3,100 ",Add
SS,Erick Aybar,2.2,48,LAA@SEA,"$3,100 ",Add
OF,Coco Crisp,2.6,38,DET@OAK,"$3,100 ",Add
3B,Matt Carpenter,2.3,53,NYY@STL,"$3,100 ",Add
SS,Elvis Andrus,2.4,51,TEX@MIN,"$3,100 ",Add
C,A.J. Pierzynski,1.9,41,BOS@ATL,"$3,100 ",Add
2B,Anthony Rendon,2.3,56,MIA@WAS,"$3,100 ",Add
SS,Didi Gregorius,0,2,SDP@ARI,"$3,100 ",Add
2B,Daniel Murphy,2.7,49,PIT@NYM,"$3,100 ",Add
OF,Starling Marte,2.5,50,PIT@NYM,"$3,100 ",Add
OF,Angel Pagan,2.6,46,CHC@SFG,"$3,100 ",Add
C,Alex Avila,1.9,38,DET@OAK,"$3,100 ",Add
OF,Michael Bourn,2.3,32,CLE@CWS,"$3,100 ",Add
2B,Ben ZobristDL,2.1,43,TAM@TOR,"$3,100 ",Add
3B,Kyle Seager,2.5,47,LAA@SEA,"$3,100 ",Add
OF,Carl Crawford,2.2,43,CIN@LOS,"$3,100 ",Add
OF,Josh Willingham,2,7,TEX@MIN,"$3,100 ",Add
3B,Aramis RamirezDL,2,34,BAL@MIL,"$3,000 ",Add
3B,David Freese,1.5,30,LAA@SEA,"$3,000 ",Add
C,Francisco Pena,0,1,HOU@KAN,"$3,000 ",Add
C,Jason Castro,2.1,43,HOU@KAN,"$3,000 ",Add
OF,Kole Calhoun,2.3,19,LAA@SEA,"$3,000 ",Add
C,Derek Norris,2.6,41,DET@OAK,"$3,000 ",Add
C,Yasmani Grandal,1.7,39,SDP@ARI,"$3,000 ",Add
C,Miguel Montero,2.2,48,SDP@ARI,"$3,000 ",Add
2B,Greg Garcia,1.1,7,NYY@STL,"$3,000 ",Add
OF,David Murphy,2.3,48,CLE@CWS,"$3,000 ",Add
3B,Will MiddlebrooksDL,1.8,21,BOS@ATL,"$3,000 ",Add
1B,Mark Reynolds,2.3,44,BAL@MIL,"$3,000 ",Add
2B,Jason KipnisDL,2.6,27,CLE@CWS,"$3,000 ",Add
3B,Trevor Plouffe,2.6,47,TEX@MIN,"$3,000 ",Add
OF,B.J. Upton,2,47,BOS@ATL,"$3,000 ",Add
1B,Anthony Rizzo,2.9,49,CHC@SFG,"$3,000 ",Add
C,Yan Gomes,2.2,44,CLE@CWS,"$3,000 ",Add
2B,Emilio Bonifacio,1.9,55,CHC@SFG,"$3,000 ",Add
C,Hank Conger,2.3,24,LAA@SEA,"$3,000 ",Add
OF,Torii Hunter,2.4,42,DET@OAK,"$3,000 ",Add
3B,Yangervis Solarte,2,55,NYY@STL,"$3,000 ",Add
SS,Jed Lowrie,2.2,48,DET@OAK,"$3,000 ",Add
OF,Randal Grichuk,0.6,9,NYY@STL,"$3,000 ",Add
OF,Adam Eaton,2.6,34,CLE@CWS,"$3,000 ",Add
C,Chris Iannetta,2.6,32,LAA@SEA,"$3,000 ",Add
1B,Eric Campbell,1.8,11,PIT@NYM,"$3,000 ",Add
OF,Alex Gordon,2.3,50,HOU@KAN,"$3,000 ",Add
OF,Tyler Collins,0.1,7,DET@OAK,"$3,000 ",Add
OF,Alfonso Soriano,1.8,48,NYY@STL,"$3,000 ",Add
2B,Kolten Wong,2.1,28,NYY@STL,"$3,000 ",Add
1B,Jesus Aguilar,0.9,4,CLE@CWS,"$3,000 ",Add
3B,Pedro Baez,0,1,CIN@LOS,"$3,000 ",Add
SS,Rafael FurcalDL,0,0,MIA@WAS,"$3,000 ",Add
3B,Pedro Alvarez,2.3,50,PIT@NYM,"$2,900 ",Add
2B,Brandon Hicks,2,44,CHC@SFG,"$2,900 ",Add
C,Russell Martin,2.7,19,PIT@NYM,"$2,900 ",Add
2B,Gordon Beckham,2.2,30,CLE@CWS,"$2,900 ",Add
OF,Marcell Ozuna,2.3,50,MIA@WAS,"$2,900 ",Add
OF,Oswaldo Arcia,1.2,5,TEX@MIN,"$2,900 ",Add
OF,Austin Jackson,2.4,44,DET@OAK,"$2,900 ",Add
3B,Conor Gillaspie,2.5,32,CLE@CWS,"$2,900 ",Add
2B,Cole Figueroa,0.6,7,TAM@TOR,"$2,900 ",Add
OF,Khris Davis,2.2,46,BAL@MIL,"$2,900 ",Add
2B,Donnie Murphy,1.4,28,TEX@MIN,"$2,900 ",Add
1B,Adam LaRoche,3.1,34,MIA@WAS,"$2,900 ",Add
3B,Cody AscheDL,1.9,40,COL@PHI,"$2,900 ",Add
SS,Erisbel Arruebarrena,1.6,4,CIN@LOS,"$2,900 ",Add
3B,Manny Machado,1.6,22,BAL@MIL,"$2,900 ",Add
OF,Juan Lagares,2.1,36,PIT@NYM,"$2,900 ",Add
SS,Brandon Crawford,2.2,50,CHC@SFG,"$2,900 ",Add
2B,Ryan Raburn,1.1,34,CLE@CWS,"$2,900 ",Add
SS,Daniel Santana,1.8,11,TEX@MIN,"$2,900 ",Add
2B,Derek Dietrich,2.3,38,MIA@WAS,"$2,900 ",Add
OF,Ichiro Suzuki,1.3,39,NYY@STL,"$2,900 ",Add
OF,James Jones,2.1,22,LAA@SEA,"$2,900 ",Add
2B,Brandon Phillips,1.7,48,CIN@LOS,"$2,900 ",Add
OF,Carlos Quentin,2.6,8,SDP@ARI,"$2,900 ",Add
OF,Norichika Aoki,2,48,HOU@KAN,"$2,900 ",Add
OF,Shane VictorinoDL,2.1,21,BOS@ATL,"$2,900 ",Add
OF,Justin Maxwell,0.5,16,HOU@KAN,"$2,900 ",Add
OF,Desmond Jennings,2.6,47,TAM@TOR,"$2,900 ",Add
1B,Joe Mauer,2.3,43,TEX@MIN,"$2,900 ",Add
OF,Lorenzo Cain,2,36,HOU@KAN,"$2,900 ",Add
SS,Jean Segura,2.1,48,BAL@MIL,"$2,900 ",Add
OF,Mitch Moreland,1.8,42,TEX@MIN,"$2,800 ",Add
C,Jarrod Saltalamacchia,2.1,45,MIA@WAS,"$2,800 ",Add
OF,Dan Robertson,0.4,9,TEX@MIN,"$2,800 ",Add
OF,J.D. Martinez,2.1,18,DET@OAK,"$2,800 ",Add
C,Carlos Ruiz,2.3,38,COL@PHI,"$2,800 ",Add
1B,Matt Adams,1.9,50,NYY@STL,"$2,800 ",Add
OF,Robbie Grossman,1.5,15,HOU@KAN,"$2,800 ",Add
C,Salvador Perez,1.8,43,HOU@KAN,"$2,800 ",Add
